ID_NUMBER,DATA_HORA,COR,NUMERO_DA_BOLA
EryVZ8nw1j,2023-02-21 00:00:00,Vermelho,5
WldVmg6D13,2023-02-21 00:00:00,Preto,12
XlO560D71O,2023-02-21 00:00:00,Vermelho,1
9rKbOL22l6,2023-02-21 00:00:00,Vermelho,6
G17zJDwmrZ,2023-02-21 00:00:00,Vermelho,1
ylLzg92m1G,2023-02-21 00:00:00,Preto,14
M19X6Dn0rA,2023-02-21 00:00:00,Vermelho,7
mlN6dL5Olv,2023-02-21 00:00:00,Vermelho,1
AlAmq63AlG,2023-02-21 00:00:00,Vermelho,6
EryVZ8nE1j,2023-02-21 00:00:00,Preto,12
RkbWYvqRlL,2023-02-21 00:00:00,Preto,8
R1p2mVZdl5,2023-02-21 00:00:00,Vermelho,1
elYnz50KrL,2023-02-21 00:00:00,Vermelho,2
WldVmg6e13,2023-02-21 00:00:00,Vermelho,7
XlO560DZ1O,2023-02-21 00:00:00,Preto,13
9rKbOL2Pl6,2023-02-21 00:00:00,Vermelho,1
G17zJDwPrZ,2023-02-21 00:00:00,Preto,9
dlEaeAXylv,2023-02-21 00:00:00,Preto,8
qlPeVo3Prz,2023-02-21 00:00:00,Vermelho,6
V1eK6gqRlo,2023-02-21 00:00:00,Preto,14
V1eK6gqRlo,2023-02-21 00:00:00,Preto,14
z1xQOZWGkp,2023-02-21 00:00:00,Preto,9
5k0LqJovkY,2023-02-21 00:00:00,Vermelho,6
Rl8XjozMlK,2023-02-21 00:00:00,Preto,14
V1qoVXW3lB,2023-02-21 00:00:00,Vermelho,3
V1anwzq9ke,2023-02-21 00:00:00,Vermelho,7
blRLag0w1O,2023-02-21 00:00:00,Preto,13
Kl5azXmvl9,2023-02-21 00:00:00,Branco,0
2l4GWPmGkn,2023-02-21 00:00:00,Preto,13
LknDL0e0r3,2023-02-21 00:00:00,Vermelho,6
RlvYanjakj,2023-02-21 00:00:00,Preto,13
4lQ7Egy61n,2023-02-21 00:00:00,Preto,11
okgVo5KL1y,2023-02-21 00:00:00,Vermelho,7
J1mvJgPxkj,2023-02-21 00:00:00,Preto,12
w1DaE7wPkE,2023-02-21 00:00:00,Vermelho,3
ekj6Eg9zk9,2023-02-21 00:00:00,Vermelho,7
Arwd0zjQ1z,2023-02-21 00:00:00,Preto,11
J1oVJQx8rd,2023-02-21 00:00:00,Preto,8
V16G5wmpkB,2023-02-21 00:00:00,Vermelho,6
6rXBLw7VkO,2023-02-21 00:00:00,Preto,13
DlZ4gK961j,2023-02-21 00:00:00,Preto,8
YrJ3oyww1K,2023-02-21 00:00:00,Preto,10
xrMa5YwXrQ,2023-02-21 00:00:00,Preto,10
EryVZ8XE1j,2023-02-21 00:00:00,Preto,13
RkbWYvbRlL,2023-02-21 00:00:00,Preto,8
R1p2mVjdl5,2023-02-21 00:00:00,Vermelho,1
elYnz5LKrL,2023-02-21 00:00:00,Preto,9
WldVmgYe13,2023-02-21 00:00:00,Preto,13
XlO560wZ1O,2023-02-21 00:00:00,Vermelho,7
9rKbOLwPl6,2023-02-21 00:00:00,Vermelho,1
G17zJDmPrZ,2023-02-21 00:00:00,Preto,9
ylLzg9w51G,2023-02-21 00:00:00,Preto,13
M19X6DmLrA,2023-02-21 00:00:00,Vermelho,6
mlN6dLwWlv,2023-02-21 00:00:00,Preto,14
dlEaeAwylv,2023-02-21 00:00:00,Vermelho,3
5k0LqJmvkY,2023-02-21 00:00:00,Vermelho,6
Rl8XjomMlK,2023-02-21 00:00:00,Vermelho,2
V1qoVXj3lB,2023-02-21 00:00:00,Vermelho,5
V1anwzy9ke,2023-02-21 00:00:00,Preto,12
blRLagbw1O,2023-02-21 00:00:00,Vermelho,5
RlvYaneakj,2023-02-21 00:00:00,Preto,13
4lQ7EgQ61n,2023-02-21 00:00:00,Preto,12
5rVXomQKkK,2023-02-21 00:00:00,Preto,13
O1BROQWA1K,2023-02-21 00:00:00,Preto,8
V16G5wvpkB,2023-02-21 00:00:00,Vermelho,1
6rXBLwXVkO,2023-02-21 00:00:00,Vermelho,3
DlZ4gKX61j,2023-02-21 00:00:00,Preto,8
YrJ3oyQw1K,2023-02-21 00:00:00,Preto,10
xrMa5YXXrQ,2023-02-21 00:00:00,Vermelho,1
Kl3XGD49rN,2023-02-21 00:00:00,Preto,12
plzXYnDo1n,2023-02-21 00:00:00,Vermelho,1
R1p2mV7dl5,2023-02-21 00:00:00,Vermelho,2
elYnz5XKrL,2023-02-21 00:00:00,Preto,9
WldVmgXe13,2023-02-21 00:00:00,Vermelho,6
XlO560QZ1O,2023-02-21 00:00:00,Preto,13
ylLzg9m51G,2023-02-21 00:00:00,Vermelho,1
EryVZ8DG1j,2023-02-21 00:00:00,Preto,8
RkbWYvX2lL,2023-02-21 00:00:00,Vermelho,2
R1p2mV7Pl5,2023-02-21 00:00:00,Vermelho,4
elYnz5XJrL,2023-02-21 00:00:00,Preto,11
WldVmgXn13,2023-02-21 00:00:00,Preto,8
XlO560Qm1O,2023-02-21 00:00:00,Preto,14
9rKbOLQXl6,2023-02-21 00:00:00,Preto,14
M19X6D5ErA,2023-02-21 00:00:00,Preto,10
mlN6dLQvlv,2023-02-21 00:00:00,Preto,8
dlEaeADRlv,2023-02-21 00:00:00,Preto,12
qlPeVoperz,2023-02-21 00:00:00,Preto,13
Rl8XjoxglK,2023-02-21 00:00:00,Vermelho,3
V1qoVXAalB,2023-02-21 00:00:00,Preto,10
erWEg59ekX,2023-02-21 00:00:00,Preto,11
8r22wXLDrb,2023-02-21 00:00:00,Vermelho,3
8kGbNgDd1Z,2023-02-21 00:00:00,Vermelho,4
V1anwzbMke,2023-02-21 00:00:00,Preto,8
blRLagdn1O,2023-02-21 00:00:00,Vermelho,7
Kl5azXEjl9,2023-02-21 00:00:00,Preto,8
RlvYandwkj,2023-02-21 00:00:00,Preto,12
4lQ7EgYy1n,2023-02-21 00:00:00,Preto,14
okgVo57X1y,2023-02-21 00:00:00,Preto,11
O1BROQD21K,2023-02-21 00:00:00,Vermelho,4
ekj6EgN5k9,2023-02-21 00:00:00,Vermelho,1
Arwd0zOE1z,2023-02-21 00:00:00,Preto,10
J1oVJQ0drd,2023-02-21 00:00:00,Preto,9
V16G5wPVkB,2023-02-21 00:00:00,Branco,0
6rXBLwNZkO,2023-02-21 00:00:00,Preto,10
DlZ4gKPy1j,2023-02-21 00:00:00,Vermelho,6
YrJ3oyDY1K,2023-02-21 00:00:00,Vermelho,3
xrMa5YAzrQ,2023-02-21 00:00:00,Preto,8
ekj6Egx5k9,2023-02-21 00:00:00,Preto,8
Arwd0zDE1z,2023-02-21 00:00:00,Preto,10
J1oVJQgdrd,2023-02-21 00:00:00,Vermelho,3
V16G5wyVkB,2023-02-21 00:00:00,Preto,8
